time;longitude;latitude;altitude;speed;bearing;accuracy
=60*60*16+60*31+57.268;8.297142;47.018048;508.0;13.75;207.0;3.0
=60*60*16+60*31+58.201;8.297106;47.017924;508.0;13.25;189.0;3.9
=60*60*16+60*31+58.253;8.297106;47.017924;508.0;13.25;189.0;3.0
=60*60*16+60*31+59.304;8.297079;47.017808;508.0;13.25;189.0;4.0
=60*60*16+60*31+59.434;8.297079;47.017808;508.0;13.25;189.0;4.0
=60*60*16+60*32+00.213;8.297052;47.017692;508.0;13.25;189.0;5.0
=60*60*16+60*32+00.220;8.297052;47.017692;508.0;13.25;189.0;5.0
=60*60*16+60*32+01.210;8.297238;47.01757;509.0;14.5;149.0;4.0
=60*60*16+60*32+02.213;8.297366;47.017463;508.0;15.5;142.0;3.9
=60*60*16+60*32+02.269;8.297366;47.017463;508.0;15.5;142.0;3.0
=60*60*16+60*32+03.193;8.297526;47.017343;507.0;17.0;138.0;3.9
=60*60*16+60*32+03.198;8.297526;47.017343;507.0;17.0;138.0;3.0
=60*60*16+60*32+04.193;8.297685;47.017216;506.0;18.5;137.0;3.9
=60*60*16+60*32+04.199;8.297685;47.017216;506.0;18.5;137.0;3.0
=60*60*16+60*32+05.194;8.297859;47.017093;504.0;19.75;136.0;3.9
=60*60*16+60*32+05.356;8.297859;47.017093;504.0;19.75;136.0;3.0
=60*60*16+60*32+06.269;8.29806;47.016968;503.0;20.5;133.0;4.0
=60*60*16+60*32+06.385;8.29806;47.016968;503.0;20.5;133.0;4.0
=60*60*16+60*32+07.211;8.298277;47.016852;501.0;21.5;131.0;3.9
=60*60*16+60*32+07.257;8.298277;47.016852;501.0;21.5;131.0;3.0
=60*60*16+60*32+08.207;8.29851;47.016738;502.0;21.75;126.0;3.9
=60*60*16+60*32+08.263;8.29851;47.016738;502.0;21.75;126.0;3.0
=60*60*16+60*32+09.193;8.298745;47.016627;502.0;22.5;126.0;3.9
=60*60*16+60*32+09.198;8.298745;47.016627;502.0;22.5;126.0;3.0
=60*60*16+60*32+10.224;8.298986;47.016504;502.0;22.75;127.0;3.9
=60*60*16+60*32+10.297;8.298986;47.016504;502.0;22.75;127.0;3.0
=60*60*16+60*32+11.268;8.299235;47.016376;502.0;23.25;125.0;3.9
=60*60*16+60*32+11.435;8.299235;47.016376;502.0;23.25;125.0;3.0
=60*60*16+60*32+12.212;8.299498;47.01626;502.0;23.5;123.0;3.9
=60*60*16+60*32+12.296;8.299498;47.01626;502.0;23.5;123.0;3.0
=60*60*16+60*32+13.192;8.299756;47.016149;503.0;23.75;122.0;3.9
=60*60*16+60*32+13.197;8.299756;47.016149;503.0;23.75;122.0;3.0
=60*60*16+60*32+14.191;8.300027;47.016032;503.0;23.75;122.0;4.0
=60*60*16+60*32+14.196;8.300027;47.016032;503.0;23.75;122.0;4.0
=60*60*16+60*32+15.196;8.30031;47.015909;503.0;24.0;123.0;7.0
=60*60*16+60*32+16.192;8.300565;47.015815;503.0;23.5;122.0;9.0
=60*60*16+60*32+16.196;8.300565;47.015815;503.0;23.5;122.0;9.0
=60*60*16+60*32+17.193;8.30082;47.015627;504.0;25.0;129.0;7.0
=60*60*16+60*32+17.197;8.30082;47.015627;504.0;25.0;129.0;7.0
=60*60*16+60*32+18.192;8.301076;47.015484;504.0;25.0;129.0;9.0
=60*60*16+60*32+18.197;8.301076;47.015484;504.0;25.0;129.0;9.0
=60*60*16+60*32+19.198;8.301333;47.015345;504.0;25.0;128.0;12.0
=60*60*16+60*32+19.267;8.301333;47.015345;504.0;25.0;128.0;12.0
=60*60*16+60*33+20.290;8.308813;47.002823;499.0;17.75;163.0;19.0
=60*60*16+60*33+21.203;8.309011;47.002752;498.0;17.0;136.0;8.0
=60*60*16+60*33+21.252;8.309011;47.002752;498.0;17.0;136.0;8.0
=60*60*16+60*33+22.190;8.309168;47.002634;497.0;17.0;136.0;6.0
=60*60*16+60*33+22.196;8.309168;47.002634;497.0;17.0;136.0;6.0
=60*60*16+60*33+23.192;8.309318;47.002517;497.0;17.25;139.0;5.0
=60*60*16+60*33+23.196;8.309318;47.002517;497.0;17.25;139.0;5.0
=60*60*16+60*33+24.200;8.309469;47.002393;495.0;17.5;139.0;5.0
=60*60*16+60*33+24.207;8.309469;47.002393;495.0;17.5;139.0;5.0
=60*60*16+60*33+25.201;8.309615;47.002264;494.0;18.0;140.0;4.0
=60*60*16+60*33+25.206;8.309615;47.002264;494.0;18.0;140.0;4.0
=60*60*16+60*33+26.202;8.309777;47.002142;495.0;18.25;140.0;4.0
=60*60*16+60*33+26.209;8.309777;47.002142;495.0;18.25;140.0;4.0
=60*60*16+60*33+27.201;8.309925;47.002008;494.0;19.0;142.0;4.0
=60*60*16+60*33+27.206;8.309925;47.002008;494.0;19.0;142.0;4.0
=60*60*16+60*33+28.202;8.310082;47.001864;493.0;19.25;142.0;4.0
=60*60*16+60*33+28.207;8.310082;47.001864;493.0;19.25;142.0;4.0
=60*60*16+60*33+29.205;8.31023;47.001725;494.0;19.25;143.0;4.0
=60*60*16+60*33+29.211;8.31023;47.001725;494.0;19.25;143.0;4.0
=60*60*16+60*33+30.193;8.310367;47.001586;495.0;19.0;145.0;3.9
=60*60*16+60*33+30.199;8.310367;47.001586;495.0;19.0;145.0;3.0
=60*60*16+60*33+31.200;8.310506;47.001445;494.0;19.25;147.0;4.0
=60*60*16+60*33+31.205;8.310506;47.001445;494.0;19.25;147.0;4.0
=60*60*16+60*33+32.219;8.310619;47.001286;493.0;19.0;149.0;3.9
=60*60*16+60*33+32.267;8.310619;47.001286;493.0;19.0;149.0;3.0
=60*60*16+60*33+33.222;8.31073;47.001132;492.0;18.5;151.0;3.9
=60*60*16+60*33+33.266;8.31073;47.001132;492.0;18.5;151.0;3.0
=60*60*16+60*33+34.217;8.310828;47.000978;491.0;18.25;153.0;3.9
=60*60*16+60*33+34.363;8.310828;47.000978;491.0;18.25;153.0;3.0
=60*60*16+60*33+35.202;8.310916;47.000834;490.0;17.75;156.0;3.9
=60*60*16+60*33+35.273;8.310916;47.000834;490.0;17.75;156.0;3.0
=60*60*16+60*33+36.192;8.310994;47.000686;491.0;17.75;159.0;3.9
=60*60*16+60*33+36.197;8.310994;47.000686;491.0;17.75;159.0;3.0
=60*60*16+60*33+37.192;8.311064;47.000536;491.0;17.75;162.0;3.9
=60*60*16+60*33+37.197;8.311064;47.000536;491.0;17.75;162.0;3.0
=60*60*16+60*33+38.192;8.311127;47.000387;492.0;17.75;167.0;3.9
